Feature,Values,Note
,,
age,"1, 2, 3, 4, ...",Positive integer.
,,
workclass,federal-gov,
,local-gov,
,private,
,self-emp-inc,
,self-emp-not-inc,
,state-gov,
,without-pay,
,,
education-level,10th,
,11th,
,12th,
,1st-4th,
,5th-6th,
,7th-8th,
,9th,
,assoc-acdm,
,assoc-voc,
,bachelors,
,doctorate,
,hs-grad,
,masters,
,preschool,
,prof-school,
,some-college,
,,
education-num,"0, 1, 2, ...",Positive integer.
,,
marital-status,divorced,
,married-af-spouse,
,married-civ-spouse,
,married-spouse-absent,
,never-married,
,separated,
,widowed,
,,
occupation,adm-clerical,
,armed-forces,
,craft-repair,
,exec-managerial,
,farming-fishing,
,handlers-cleaners,
,machine-op-inspct,
,other-service,
,priv-house-serv,
,prof-specialty,
,protective-serv,
,sales,
,tech-support,
,transport-moving,
,,
relationship,husband,
,not-in-family,
,other-relative,
,own-child,
,unmarried,
,wife,
,,
race,amer-indian-eskimo,
,asian-pac-islander,
,black,
,other,
,white,
,,
sex,female,
,male,
,,
capital-gain,"0, 100, 500, 1000, ...",Positive integer.
,,
capital-loss,"0, 100, 500, 1000, ...",Positive integer.
,,
hours-per-week,"0, 1, 2, 10, 40, 100, ...",Positive integer.
,,
native-country,cambodia,
,canada,
,china,
,columbia,
,cuba,
,dominican-republic,
,ecuador,
,el-salvador,
,england,
,france,
,germany,
,greece,
,guatemala,
,haiti,
,holand-netherlands,
,honduras,
,hong,
,hungary,
,india,
,iran,
,ireland,
,italy,
,jamaica,
,japan,
,laos,
,mexico,
,nicaragua,
,outlying-us(guam-usvi-etc),
,peru,
,philippines,
,poland,
,portugal,
,puerto-rico,
,scotland,
,south,
,taiwan,
,thailand,
,trinadad&tobago,
,united-states,
,vietnam,
,yugoslavia,
